code,name,icao,iata,wmo,msc_id,country,province_territory,lat,lon,station_type,sources_available,data_provider
148,BLACKPINE,148,148,,BC_WMB_148,Canada,BC,56.31878,-125.36797,airport,geomet,MSC
14803,Byng Island Climate Station,14803,14803,,ON_GRCA_14803,Canada,ON,42.89389,-79.62807,airport,geomet,MSC
14827,York,14827,14827,,ON_GRCA_14827,Canada,ON,43.022275,-79.892037,airport,geomet,MSC
14884,Head Office Climate Station,14884,14884,,ON_GRCA_14884,Canada,ON,43.37609047,-80.2860881,airport,geomet,MSC
149,BEAR LAKE,149,149,,BC_WMB_149,Canada,BC,54.50922,-122.69103,airport,geomet,MSC
14929,Conestogo Climate Station,14929,14929,,ON_GRCA_14929,Canada,ON,43.684182,-80.710332,airport,geomet,MSC
14994,Guelph Lake Climate Station,14994,14994,,ON_GRCA_14994,Canada,ON,43.604366,-80.264394,airport,geomet,MSC
15,New Harbour Barrens,15,15,,NL-DFFA_015,Canada,NL,47.581528,-53.335194,airport,geomet,MSC
15021,Laurel Creek Climate Station,15021,15021,,ON_GRCA_15021,Canada,ON,43.474868,-80.574326,airport,geomet,MSC
15071,Luther Marsh Climate Station,15071,15071,,ON_GRCA_15071,Canada,ON,43.962844,-80.401168,airport,geomet,MSC
15074,Dundalk Climate Station,15074,15074,,ON_GRCA_15074,Canada,ON,44.140125,-80.36313611,airport,geomet,MSC
15092,BRADNER ROAD,15092,15092,,BC_TRAN_15092,Canada,BC,49.07556,-122.42528,airport,geomet,MSC
15093,NICOLUM CREEK,15093,15093,,BC_TRAN_15093,Canada,BC,49.3629,-121.35638,airport,geomet,MSC
15095,New Hamburg Fairgrounds,15095,15095,,ON_GRCA_15095,Canada,ON,43.37432,-80.703105,airport,geomet,MSC
151,NABESHE,151,151,,BC_WMB_151,Canada,BC,56.36433,-123.36556,airport,geomet,MSC
15113,Shades Mills Climate Station,15113,15113,,ON_GRCA_15113,Canada,ON,43.376082,-80.286084,airport,geomet,MSC
15118,Upper Ayr Reservoir,15118,15118,,ON_GRCA_15118,Canada,ON,43.288626,-80.446851,airport,geomet,MSC
15122,HELLS GATE ROADSIDE,15122,15122,,BC_TRAN_15122,Canada,BC,49.75703,-121.41803,airport,geomet,MSC
15124,JACKASS,15124,15124,,BC_TRAN_15124,Canada,BC,50.07611,-121.5475,airport,geomet,MSC
15132,Wellesley Dam,15132,15132,,ON_GRCA_15132,Canada,ON,43.475594,-80.765943,airport,geomet,MSC
15171,Woolwich Dam Climate Station,15171,15171,,ON_GRCA_15171,Canada,ON,43.622569,-80.564452,airport,geomet,MSC
152,SIFTON,152,152,,BC_WMB_152,Canada,BC,57.85175,-126.11676,airport,geomet,MSC
15218,Bridgeport WQ Station,15218,15218,,ON_GRCA_15218,Canada,ON,43.483425,-80.474983,airport,geomet,MSC
15241,Glen Morris WQ Station,15241,15241,,ON_GRCA_15241,Canada,ON,43.277475,-80.3475944,airport,geomet,MSC
15285,Road 32 WQ Station,15285,15285,,ON_GRCA_15285,Canada,ON,43.484483,-80.32822028,airport,geomet,MSC
153,MCLEOD LAKE,153,153,,BC_WMB_153,Canada,BC,54.72553,-123.07867,airport,geomet,MSC
15321,FOUNDATION MINES,15321,15321,,BC_TRAN_15321,Canada,BC,49.23,-121.08417,airport,geomet,MSC
15392,ALLISON PASS,15392,15392,,BC_TRAN_15392,Canada,BC,49.11564,-120.86744,airport,geomet,MSC
15394,SIMILKAMEEN FALLS,15394,15394,,BC_TRAN_15394,Canada,BC,49.16609,-120.56784,airport,geomet,MSC
154,WITCH,154,154,,BC_WMB_154,Canada,BC,55.02303,-124.26661,airport,geomet,MSC
155,MACKENZIE FS,155,155,,BC_WMB_155,Canada,BC,55.32211,-123.09317,airport,geomet,MSC
156,SUSTUT,156,156,,BC_WMB_156,Canada,BC,56.32873,-127.03425,airport,geomet,MSC
158,VANDERHOOF HUB,158,158,,BC_WMB_158,Canada,BC,54.05581,-124.00886,airport,geomet,MSC
159,NORTH CHILCO,159,159,,BC_WMB_159,Canada,BC,54.15463,-123.75413,airport,geomet,MSC
16,Williams Lake Columneetza School,16,16,,BC_ENV-AQ_16,Canada,BC,52.14428,-122.150391,airport,geomet,MSC
161,GRASSY PLAINS HUB,161,161,,BC_WMB_161,Canada,BC,53.94667,-125.86667,airport,geomet,MSC
162,HOUSTON (DUNGATE),162,162,,BC_WMB_162,Canada,BC,54.41167,-126.62667,airport,geomet,MSC
163,LOVELL COVE,163,163,,BC_WMB_163,Canada,BC,55.68822,-126.05261,airport,geomet,MSC
165,MOOSE LAKE,165,165,,BC_WMB_165,Canada,BC,53.07146,-125.41215,airport,geomet,MSC
166,KLUSKUS,166,166,,BC_WMB_166,Canada,BC,53.38305,-124.51208,airport,geomet,MSC
167,AUGIER LAKE,167,167,,BC_WMB_167,Canada,BC,54.36189,-125.52531,airport,geomet,MSC
169,UPPER FULTON,169,169,,BC_WMB_169,Canada,BC,55.03333,-126.8,airport,geomet,MSC
17,Cashe River,17,17,,NL-DFFA_017,Canada,NL,53.261194,-62.442639,airport,geomet,MSC
170,EAST OOTSA,170,170,,BC_WMB_170,Canada,BC,53.50167,-125.77167,airport,geomet,MSC
171,LEO CREEK,171,171,,BC_WMB_171,Canada,BC,55.08183,-125.4774,airport,geomet,MSC
172,NILKITKWA,172,172,,BC_WMB_172,Canada,BC,55.55333,-126.57833,airport,geomet,MSC
173,NORTH BABINE,173,173,,BC_WMB_173,Canada,BC,55.13667,-126.21167,airport,geomet,MSC
175,BEDNESTI,175,175,,BC_WMB_175,Canada,BC,53.86539,-123.32317,airport,geomet,MSC
17772,Fairchild Near Brantford,17772,17772,,ON_GRCA_17772,Canada,ON,43.147353,-80.154888,airport,geomet,MSC
178,PEDEN,178,178,,BC_WMB_178,Canada,BC,53.98667,-126.52167,airport,geomet,MSC
179,Taylor Townsite,179,179,,BC_ENV-AQ_179,Canada,BC,56.1502,-120.687,airport,geomet,MSC
18,Grand Lake,18,18,,NL-DFFA_018,Canada,NL,53.600806,-60.82725,airport,geomet,MSC
180,MCBRIDE LAKE,180,180,,BC_WMB_180,Canada,BC,54.07472,-127.39942,airport,geomet,MSC
181,BURNS LAKE 850M,181,181,,BC_WMB_181,Canada,BC,54.25667,-125.755,airport,geomet,MSC
182,Telkwa_60,182,182,,BC_ENV-AQ_182,Canada,BC,54.6915,-127.0543,airport,geomet,MSC
183,PARROTT,183,183,,BC_WMB_183,Canada,BC,54.01867,-126.38889,airport,geomet,MSC
187,HIXON,187,187,,BC_WMB_187,Canada,BC,53.41128,-122.59575,airport,geomet,MSC
189,Trail Butler Park Met_60,189,189,,BC_ENV-AQ_189,Canada,BC,49.0962,-117.6978,airport,geomet,MSC
19,Golden Lady Grey School Met_60,19,19,,BC_ENV-AQ_19,Canada,BC,51.2956,-116.9717,airport,geomet,MSC
190,JERRY,190,190,,BC_WMB_190,Canada,BC,53.52594,-122.1055,airport,geomet,MSC
192,Trail Columbia Gardens Airport_60,192,192,,BC_ENV-AQ_192,Canada,BC,49.0464,-117.6071,airport,geomet,MSC
193,BOWRON HAGGEN,193,193,,BC_WMB_193,Canada,BC,53.46314,-121.56033,airport,geomet,MSC
194,Vernon Science Centre_60,194,194,,BC_ENV-AQ_194,Canada,BC,50.2606,-119.2707,airport,geomet,MSC
195,MCBRIDE HUB,195,195,,BC_WMB_195,Canada,BC,53.29483,-120.15278,airport,geomet,MSC
199,CATFISH,199,199,,BC_WMB_199,Canada,BC,53.57644,-120.85844,airport,geomet,MSC
1A01P,Yellowhead Lake,1A01P,1A01P,,BC-ENV-ASW_1A01P,Canada,BC,52.90622,-118.5475,airport,geomet,MSC
1A02P,McBride Upper,1A02P,1A02P,,BC-ENV-ASW_1A02P,Canada,BC,53.30604,-120.31926,airport,geomet,MSC
1A03P,Barkerville,1A03P,1A03P,,BC-ENV-ASW_1A03P,Canada,BC,53.057338,-121.491828,airport,geomet,MSC
1A05P,Longworth Upper,1A05P,1A05P,,BC-ENV-ASW_1A05P,Canada,BC,53.95083,-121.4431,airport,geomet,MSC
1A12P,Kaza Lake,1A12P,1A12P,,BC-ENV-ASW_1A12P,Canada,BC,56.0211917,-126.2975972,airport,geomet,MSC
1A14P,Hedrick Lake,1A14P,1A14P,,BC-ENV-ASW_1A14P,Canada,BC,54.10572,-121.0,airport,geomet,MSC
1A15P,Knudsen Lake,1A15P,1A15P,,BC-ENV-ASW_1A15P,Canada,BC,54.30266,-120.782813,airport,geomet,MSC
1A17P,Revolution Creek,1A17P,1A17P,,BC-ENV-ASW_1A17P,Canada,BC,53.78422,-120.3752,airport,geomet,MSC
1A19P,Dome Mountain,1A19P,1A19P,,BC-ENV-ASW_1A19P,Canada,BC,53.626945,-121.016944,airport,geomet,MSC
1B01P,Mount Wells,1B01P,1B01P,,BC-ENV-ASW_1B01P,Canada,BC,53.72861,-126.423614,airport,geomet,MSC
1B02P,Tahtsa Lake,1B02P,1B02P,,BC-ENV-ASW_1B02P,Canada,BC,53.593055,-127.64389,airport,geomet,MSC
1B08P,Mt. Pondosy,1B08P,1B08P,,BC-ENV-ASW_1B08P,Canada,BC,53.1525,-126.881111,airport,geomet,MSC
1C05P,McGillivray Pass,1C05P,1C05P,,BC-ENV-ASW_1C05P,Canada,BC,50.6985556,-122.625375,airport,geomet,MSC
1C12P,Green Mountain,1C12P,1C12P,,BC-ENV-ASW_1C12P,Canada,BC,50.7956333,-122.9245417,airport,geomet,MSC
1C14P,Bralorne,1C14P,1C14P,,BC-ENV-ASW_1C14P,Canada,BC,50.7751889,-122.7888194,airport,geomet,MSC
1C17P,Mount Timothy,1C17P,1C17P,,BC-ENV-ASW_1C17P,Canada,BC,51.90453,-121.25604,airport,geomet,MSC
1C18P,Mission Ridge,1C18P,1C18P,,BC-ENV-ASW_1C18P,Canada,BC,50.7625556,-122.2076944,airport,geomet,MSC
1C20P,Boss Mountain Mine,1C20P,1C20P,,BC-ENV-ASW_1C20P,Canada,BC,52.1069,-120.86727,airport,geomet,MSC
1C23P,Penfold Creek,1C23P,1C23P,,BC-ENV-ASW_1C23P,Canada,BC,52.74882,-120.56057,airport,geomet,MSC
1C29P,Shovelnose Mountain,1C29P,1C29P,,BC-ENV-ASW_1C29P,Canada,BC,49.855951,-120.862891,airport,geomet,MSC
1C32P,Deadman River,1C32P,1C32P,,BC-ENV-ASW_1C32P,Canada,BC,51.098512,-120.609694,airport,geomet,MSC
1C38P,Downton Lake Upper,1C38P,1C38P,,BC-ENV-ASW_1C38P,Canada,BC,50.8597917,-123.1836333,airport,geomet,MSC
1C40P,North Tyaughton,1C40P,1C40P,,BC-ENV-ASW_1C40P,Canada,BC,51.147525,-122.7937528,airport,geomet,MSC
1C41P,Yanks Peak,1C41P,1C41P,,BC-ENV-ASW_1C41P,Canada,BC,52.83201,-121.35564,airport,geomet,MSC
1C43P,Bridge Glacier Proglacial Lake,1C43P,1C43P,,BC-ENV-ASW_1C43P,Canada,BC,50.831492,-123.486422,airport,geomet,MSC
1C45P,July Mountain,1C45P,1C45P,,BC-ENV-ASW_1C45P,Canada,BC,49.707639,-121.085472,airport,geomet,MSC
1D06P,Tenquille Lake,1D06P,1D06P,,BC-ENV-ASW_1D06P,Canada,BC,50.53625,-122.92996,airport,geomet,MSC
1D08P,Lamont Creek Upper,1D08P,1D08P,,BC-ENV-ASW_1D08P,Canada,BC,49.581909,-122.314283,airport,geomet,MSC
1D09P,Wahleach Lake,1D09P,1D09P,,BC-ENV-ASW_1D09P,Canada,BC,49.23275,-121.5798833,airport,geomet,MSC
1D17P,Chilliwack River,1D17P,1D17P,,BC-ENV-ASW_1D17P,Canada,BC,49.0315,-121.7121,airport,geomet,MSC
1D18P,Disappointment Lake,1D18P,1D18P,,BC-ENV-ASW_1D18P,Canada,BC,49.555,-122.758333,airport,geomet,MSC
1D19P,Spuzzum,1D19P,1D19P,,BC-ENV-ASW_1D19P,Canada,BC,49.660831,-121.660835,airport,geomet,MSC
1E02P,Mount Cook,1E02P,1E02P,,BC-ENV-ASW_1E02P,Canada,BC,52.18214,-119.3227,airport,geomet,MSC
1E03AP,Trophy Mountain,1E03AP,1E03AP,,BC-ENV-ASW_1E03AP,Canada,BC,51.808369,-119.940639,airport,geomet,MSC
1E08P,Azure River,1E08P,1E08P,,BC-ENV-ASW_1E08P,Canada,BC,52.595917,-119.722694,airport,geomet,MSC
1E10P,Kostal Lake,1E10P,1E10P,,BC-ENV-ASW_1E10P,Canada,BC,52.203334,-120.016944,airport,geomet,MSC
1E14P,Cook Creek,1E14P,1E14P,,BC-ENV-ASW_1E14P,Canada,BC,52.167777,-119.303888,airport,geomet,MSC
1F03P,Park Mountain,1F03P,1F03P,,BC-ENV-ASW_1F03P,Canada,BC,50.44961,-118.61856,airport,geomet,MSC
1F04P,Enderby,1F04P,1F04P,,BC-ENV-ASW_1F04P,Canada,BC,50.653025,-118.926903,airport,geomet,MSC
1F06P,Celista,1F06P,1F06P,,BC-ENV-ASW_1F06P,Canada,BC,51.406665,-118.999725,airport,geomet,MSC
2,Spring Tilt Rd,2,2,,NL-DFFA_002,Canada,NL,50.384233,-57.315761,airport,geomet,MSC
20,Port Hope Simpson,20,20,,NL-DFFA_020,Canada,NL,52.614056,-56.429556,airport,geomet,MSC
200,VALEMOUNT 2,200,200,,BC_WMB_200,Canada,BC,52.78805,-119.31481,airport,geomet,MSC
201,HOLMES,201,201,,BC_WMB_201,Canada,BC,53.34543,-119.71323,airport,geomet,MSC
206,TAUTRI,206,206,,BC_WMB_206,Canada,BC,52.535,-123.25,airport,geomet,MSC
208,TATLA LAKE HUB,208,208,,BC_WMB_208,Canada,BC,51.90667,-124.605,airport,geomet,MSC
